
"
HIST111
",Atatürk İlkeleri ve İnkılâp Tarihi I (İngilizce),2,0,2
"
HIST221
",Uygarlık Tarihi ,3,0,3
"
ENG101
",Akademik İngilizce I ,4,0,3.5
"
PHYS101
",Genel Fizik I,3,2,6
"
IE103
",Endüstri Mühendisliğine Giriş,2,0,3.5
"
CEAC105
",Genel Kimya,3,2,5
"
MATH151
",Kalkülüs I,4,2,7
Toplam,21,6,30

"
IE122
",Nicel Analiz ve Modellemeye Giriş,2,0,3.5
"
CE110
",Teknik Çizim ve Tasarım,1,3,4
"
CMPE102
",Bilgisayar Programlama,2,2,4
"
ENG102
",Akademik İngilizce II,4,0,3.5
"
PHYS102
",Genel Fizik II,3,2,6
"
HIST112
",Atatürk İlke ve İnkilâp Tarihi II (İngilizce),2,0,2
"
MATH152
",Kalkülüs II,4,2,7
Toplam,18,9,30

"
IE201
",Olasılık ve İstatistik I,3,0,7
"
ENG201
",Akademik İngilizce III,3,0,3
"
MATE207
",Malzeme Mühendisliğine Giriş,3,0,5
"
MATH275
",Lineer Cebir,4,0,6
"
ECON211
",Ekonominin Temelleri,4,0,4
"
MFGE205
",Üretim Yöntemlerine Giriş,2,2,5
Toplam,19,2,30

"
ENG202
",Akademik İngilizce IV,3,0,3
"
MATH276
",Diferansiyel Denklemler,4,0,6
"
IE202
",Olasılık ve İstatistik II,3,1,6.5
"
IE206
",Mühendislik Maliyet Analizi,3,0,3
"
IE222
",Yöneylem Araştırması I,3,2,7.5
,"

                                Alan Dışı Seçmeli                            
",3,0,4
Toplam,19,3,30

"
IE305
",Mühendislik Ekonomisi ,2,0,5
"
ENG301
",İş Yaşamı için İngilizce I,3,0,3
"
CMPE301
",Veritabanı Yönetim Sistemlerine Giriş,2,2,5
"
IE399
",Yaz Stajı I,0,0,6
"
IE307
",Üretim Planlama ve Kontrol,3,0,5
"
IE323
",Yöneylem Araştırması II,3,2,8
,"

                                Alan Dışı Seçmeli                            
",3,0,4
Toplam,16,4,30

"
ENG302
",İş Yaşamı için İngilizce II,3,0,3
"
IE304
",Bilgi Yönetimi,3,0,6
"
IE316
",Ergonomi,2,1,4
"
IE324
",Rassal Modeller,3,0,6
"
IE326
",Kalite Kontrol ve Güvencesi,3,0,6
,"

                                Alan Seçmeli                            
",3,0,5
Toplam,17,1,30

"
IE401
",Endüstri Mühendisliği Tasarımı I,3,1,6
"
IE403
",Simülasyon,2,2,5
"
IE407
",Tesis Planlama,3,1,7
"
IE499
",Yaz Stajı II,0,0,10
"
TURK401
",Türk Dili I,2,0,2
,"

                                Alan Seçmeli                            
",3,0,5
,"

                                Alan Seçmeli                            
",3,0,5
Toplam,16,4,30

"
TURK402
",Türk Dili II,2,0,2
"
IE402
",Endüstri Mühendisliği Tasarımı II,3,1,9
,"

                                Alan Seçmeli                            
",3,0,5
,"

                                Alan Seçmeli                            
",0,0,5
,"

                                Alan Seçmeli                            
",3,0,5
,"

                                Alan Dışı Seçmeli                            
",0,0,4
Toplam,11,1,30
