"
			


T.C.



",T.C.,
T.C.
İZMİR BAKIRÇAY ÜNİVERSİTESİ,
MÜHENDİSLİK VE MİMARLIK FAKÜLTESİ,
"ENDÜSTRİ MÜHENDİSLİĞİ BÖLÜMÜ
			DERS PLANI",
1. SINIF,
GÜZ (1. YARIYIL),
Ders Türü,Dersin Kodu,Dersin Adı,Ön Koşul,T,U / L,K,AKTS,
Z,TDL 101,Türk Dili I,,2,0,2,2,
Z,YDL 101,İngilizce I,,2,0,2,2,
Z,ATA 101,Atatürk İlkeleri ve İnkılâp Tarihi I,,2,0,2,2,
Z,TBB 111,Fizik I,,3,2,4,5,
Z,TBB 121,Matematik I,,4,0,4,5,
Z,END 101,Endüstri Mühendisliğine Giriş ve Etik,,2,0,2,4,
Z,END 111,Bilgisayar Programlama I,,2,2,3,5,
Z,END 113,Bilgisayar Destekli Teknik Resim,,2,2,3,5,
Toplam,19,6,22,30,
Haftalık Toplam Ders Saati,25,
BAHAR (2. YARIYIL),
Ders Türü,Dersin Kodu,Dersin Adı,Ön Koşul,T,U / L,K,AKTS,
Z,TDL 102,Türk Dili II,,2,0,2,2,
Z,YDL 102,İngilizce II,,2,0,2,2,
Z,ATA 102,Atatürk İlkeleri ve İnkılâp Tarihi II,,2,0,2,2,
Z,TBB 112,Fizik II,,3,2,4,5,
Z,TBB 122,Matematik II,,4,0,4,5,
Z,TBB 124,Lineer Cebir,,2,0,2,4,
Z,TBB 132,Genel Kimya,,3,2,4,5,
Z,END 112,Bilgisayar Programlama II,,2,2,3,5,
Toplam,20,6,23,30,
Haftalık Toplam Ders Saati,26,
2.SINIF,
GÜZ (3.YARIYIL),
Ders Türü,Dersin Kodu,Dersin Adı,Ön Koşul,T,U / L,K,AKTS,
Z,END 231,Mühendislikte Olasılık,,3,0,3,4,
Z,END 211,Algoritma Tasarımı ve Veri Yapıları,,3,0,3,5,
Z,END 241,Maliyet ve Yönetim Muhasebesi,,3,0,3,4,
Z,END 243,Makro ve Mikro Ekonomi,,3,0,3,4,
Z,END 251,Yöneylem Araştırması I,,2,2,3,5,
S,,Teknik Seçmeli Ders I,,3,0,3,4,
S,,Alan Dışı,,3,0,3,4,
Toplam,20,2,21,30,
Haftalık Toplam Ders Saati,22,
Teknik Seçmeli Ders Grubu 1 (1 Ders Seçilecek),
,END 221,İmalatta Malzeme ve Süreçler,,3,0,3,4,
,END 223,Tesis Tasarımı ve Planlama,,3,0,3,4,
,END 261,Sürdürülebilir Mühendislik Sistemleri,,3,0,3,4,
Alan Dışı Ders-I,
,END/AD 201,Sistem Yaklaşımı,,3,0,3,4,
BAHAR (4. YARIYIL),
Dersin Türü,Dersin Kodu,Dersin Adı,Ön Koşul,T,U / L,K,AKTS,
Z,END 212,Veri Tabanı Tasarımı ve Yönetimi,,3,0,3,5,
Z,END 222,İş Sistemleri Analizi ve Tasarımı,,2,2,3,6,
Z,END 242,Mühendislik Ekonomisi,,3,0,3,5,
Z,END 252,Yöneylem Araştırması II,END 251,2,2,3,6,
Z,END 232,Mühendislik İstatistiği,,3,0,3,4,
S,,Alan Dışı,,3,0,3,4,
Toplam,16,4,18,30,
Haftalık Toplam Ders Saati,20,
Alan Dışı Ders-II,
,END/AD 202,Sürekli İyileştirme,,3,0,3,4,
3.SINIF,
GÜZ (5. YARIYIL),
Dersin Türü,Dersin Kodu,Dersin Adı,Ön Koşul,T,U / L,K,AKTS,
Z,END/ISG 301,İş Sağlığı ve Güvenliği I,,2,0,2,2,
Z,END 311,Yönetim Bilişim Sistemleri,,3,0,3,5,
Z,END 321,Üretim ve Servis Sistemleri Planlama ve Kontrolü I,,3,0,3,5,
Z,END 331,Modelleme ve Simülasyon,END 232,2,2,3,5,
Z,END 351,Yöneylem Araştırması III,END 231,2,2,3,5,
S,,Teknik Seçmeli Ders II,,3,0,3,4,
S,,Mühendislik Seçmeli Dersi I,,3,0,3,4,
Toplam,18,4,20,30,
Haftalık Toplam Ders Saati,22,
Teknik Seçmeli Ders Grubu 2 (1 Ders Seçilecek),
,END 341,Mühendislikte Yatırım Kararları,,3,0,3,4,
,END 353,Büyük Ölçekli Optimizasyon,,3,0,3,4,
,END 355,Karar Kuramı,,3,0,3,4,
Mühendislik Seçmeli Ders Grubu 1 (1 Ders Seçilecek),
,END 323,Tedarik Zinciri Yönetimi,,3,0,3,4,
,END 333,Veri Madenciliği ve Makine Öğrenmesi,,3,0,3,4,
