
1+0+0,Zorunlu,1,
4+0+0,Zorunlu,4,
3+0+1,Zorunlu,6,
2+0+2,Zorunlu,5,
3+0+0,Zorunlu,6,
2+0+0,Zorunlu,4,
2+0+0,Seçmeli,4,
,Toplam AKTS,30,

4+0+0,Zorunlu,4,
3+0+1,Zorunlu,6,
3+0+0,Zorunlu,6,
3+0+0,Zorunlu,6,
2+1+0,Zorunlu,4,
2+0+0,Seçmeli,4,
,Toplam AKTS,30,

4+0+0,Zorunlu,4,
3+0+0,Zorunlu,6,
3+0+0,Zorunlu,5,
2+0+0,Zorunlu,4,
3+0+0,Zorunlu,6,
2+2+0,Zorunlu,5,
,Toplam AKTS,30,

3+0+0,Zorunlu,5,
3+0+0,Zorunlu,5,
2+0+0,Zorunlu,4,
3+0+0,Zorunlu,6,
3+0+0,Zorunlu,6,
2+1+0,Seçmeli,4,
,Toplam AKTS,30,

2+0+0,Zorunlu,5,
3+0+0,Zorunlu,6,
3+0+0,Zorunlu,5,
3+0+0,Zorunlu,5,
2+0+0,Zorunlu,5,
2+0+0,Seçmeli,4,
,Toplam AKTS,30,

3+0+0,Zorunlu,5,
3+0+0,Zorunlu,5,
3+0+0,Zorunlu,6,
2+0+0,Zorunlu,4,
0+0+0,Seçmeli,5,
-,Seçmeli,5,
,Toplam AKTS,30,

,,,

0+2+0,Seçmeli,6,
3+0+0,Seçmeli,5,
2+0+0,Seçmeli,4,
-,Seçmeli,5,
-,Seçmeli,5,
-,Seçmeli,5,
,Toplam AKTS,30,

,,,

0+0+0,Seçmeli,5,
2+0+0,Seçmeli,4,
2+0+0,Seçmeli,4,
0+2+0,Seçmeli,7,
-,Seçmeli,5,
-,Seçmeli,5,
,Toplam AKTS,30,

,,,
