
END 101,Endüstri Mühendisliğine Giriş,2,4
BİL 141,Bilgisayar Programlama I,4,8
MAT 101,Matematik I,4,7
FİZ 101,Fizik I,3,6
FİZ 101L,Fizik I Laboratuvarı,1,2
KİM 101,Genel Kimya,3,6
KİM 101L,Genel Kimya Laboratuvarı,1,2
TÜR 101,Türk Dili I,2,2
İNG 001,İngilizce I,2,4
Toplam,,22,41

BİL 106,Veritabanı Yönetimi,3,6
MAK 101,Bilgisayar Destekli Teknik Resim I,3,6
MAT 102,Matematik II,4,7
FİZ 102,Fizik II,3,6
FİZ 102L,Fizik II Laboratuvarı,1,2
OEG 101,Ortak Eğitime Giriş,1,2
TÜR 102,Türk Dili II,2,2
İNG 002,İngilizce II,2,4
Toplam,,19,35

END 213,Olasılık ve İstatistik I,3,6
MAT 203,Lineer Cebir ve Diferansiyel Denklemlere Giriş,4,7
İKT 105,Ekonomiye Giriş,3,6
İŞL 212,İşletmecilik Bilgisi,3,6
AİT 201,Atatürk İlkeleri ve İnkılap Tarihi I,2,2
İNG 003,İngilizce Okuma ve Konuşma,2,4
Toplam,,17,31

END 202,İş Analizi ve Tasarımı,3,6
END 214,Olasılık ve İstatistik II,3,6
END 294,Yöneylem Araştırması I,3,6
MAK 209,Malzeme Bilimi ve İmalat Yöntemleri,3,6
MAK 209L,Malzeme Bilimi ve İmalat Yöntemleri Lab.,1,2
AİT 202,Atatürk İlkeleri ve İnkılap Tarihi II,2,2
İNG 004,İş Hayatı İçin İngilizce,2,4
Toplam Kredi,17,32

END 307,Üretim Sistemleri Planlama,3,6
END 321,Rassal Modeller,3,6
END 395,Yöneylem Araştırması II,3,6
İŞL 353,Muhasebe ve Maliyet Muhasebesi,3,6
İYD - 1,İkinci Yabancı Dil 1,3,5
Toplam Kredi,15,29

OEG 200,Ortak Eğitim I,0,8
Toplam Kredi,0,8

END 306,Benzetim Sistemleri,3,6
END 308,Tesis Tasarımı ve Planlama,3,6
END 320,Mühendislik Ekonomisi,3,6
END 396,Servis Sistemleri Tasarım ve Planlama,3,6
UGİ 315,Girişimcilik ve Liderlik,2,4
İYD - 2,İkinci Yabancı Dil 2,3,5
Toplam Kredi,17,33

OEG 300,Ortak Eğitim II,0,8
Toplam Kredi,0,8

END 409,Üretim Bilişim Sistemleri,3,6
END 471,Kalite Planlama ve Kontrol,3,6
BSD - 1*,Bölüm Seçmeli Dersi,3,6
ÜSD - 1*,Üniversite Seçmeli Ders I,3,6
İYD - 3,İkinci Yabancı Dil 3,3,5
Toplam Kredi,15,29

OEG 400,Ortak Eğitim II,0,8
Toplam Kredi,0,8

END 497,Bitirme Tasarım Projesi,4,14
FSD - 1*,Fakülte Seçmeli Dersi,3,6
ÜSD - 2*,Üniversite Seçmeli Dersi II,3,6
İYD - 4,İkinci Yabancı Dil 4,3,5
Toplam Kredi,13,31
