
Endüstri Mühendisliği Lisans Ders Programı
,,,,
​1. Yarıyıl (1. Yıl Güz Dönemi),,,,2. Yarıyıl (1. Yıl Bahar Dönemi)
Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS,,,,Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS
500101,,Fizik-I,,Z,,4,,2,,5,,6,,,,500201,,Fizik-II,,Z,,4,,2,,5,,6
500102,,Kimya,,Z,,3,,2,,4,,6,,,,500202,,Matematik-II,,Z,,4,,0,,4,,6
500103,,Matematik-I,,Z,,4,,0,,4,,6,,,,516201,,Lineer Cebir,,Z,,3,,0,,3,,4
500104,,Temel Bilgi Teknolojileri,,Z,,2,,1,,"2,5",,3,,,,516202,,Mühendislikte Bilgisayar Uygulamaları,,Z,,2,,1,,"2,5",,4
516101,,Teknik Resim-I,,Z,,2,,1,,"2,5",,3,,,,516203,,İktisada Giriş,,Z,,3,,0,,3,,3
516102,,Endüstri Mühendisliğine Giriş,,Z,,2,,0,,2,,2,,,,516204,,Bilgisayar Destekli Çizim,,Z,,2,,1,,"2,5",,3
500105,,Atatürk İlkeleri ve İnkilap Tarihi -I,,Z,,2,,0,,2,,1,,,,500205,,Atatürk İlkeleri ve İnkilap Tarihi-II,,Z,,2,,0,,2,,1
​500106,,Türk Dili-I,,Z,,2,,0,,2,,1,,,,500206,,Türk Dili-II,,Z,,2,,0,,2,,1
500107,,Yabancı Dil-I (İngilizce-I),,Z,,2,,0,,2,,1,,,,500207,,Yabancı Dil-II (İngilizce-II),,Z,,2,,0,,2,,1
,,Sosyal Seçmeli Ders-I*,,S,,2,,0,,2,,1,,,,,,Sosyal Seçmeli Ders-II*,,S,,2,,0,,2,,1
,,TOPLAM,,,,25,,6,,28,,30,,,,,,TOPLAM,,,,26,,4,,28,,30
Sosyal Seçmeli Ders I,,,,,,,,,,,,,,Sosyal Seçmeli Ders II,,,,,,,,,,
516110,,Güzel Sanatlar,,S,,2,,0,,2,,1,,,,516210,,İleitişim Becerileri,,S,,2,,0,,2,,1
516111,,Fotoğrafçılık,,S,,2,,0,,2,,1,,,,516211,,Beden Dili,,S,,2,,0,,2,,1
516112,,Beden Eğitimi,,S,,2,,0,,2,,1,,,,516212,,Mühendislikte Etkili İletişim,,S,,2,,0,,2,,1
516113,,Doğal Afetler ve Afet Yönetimi,,S,,2,,0,,2,,1,,,,516213,,Sunum ve Sunuş Teknikleri,,S,,2,,0,,2,,1
516114,,İlk ve Acil Yardım,,S,,2,,0,,2,,1,,,,516214,,Halkla İlişkiler,,S,,2,,0,,2,,1
516115,,Girişimcilik ve İş Kurma,,S,,2,,0,,2,,1,,,,516215,,Konuşma ve Hitap Becerisi,,S,,2,,0,,2,,1
516116,,Satranç,,S,,2,,0,,2,,1,,,,* 2. grup teknik olmayan (seçmeli) ders havuzundan bir ders seçilecektir.
* 1. grup teknik olmayan (sosyal) seçmeli ders havuzundan bir ders seçilecektir.,,,,,,,,,,,,,,,,
,,,,
3. Yarıyıl (2. Yıl Güz Dönemi),,,,4. Yarıyıl (2. Yıl Bahar Dönemi)
Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS,,,,Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS
516301,,İleri Analiz,,Z,,4,,0,,4,,6,,,,516401,,Üretim İşleri ve Mühendisliği,,Z,,3,,0,,3,,5
516302,,Mühendislik Mekaniği,,Z,,2,,1,,"2,5",,5,,,,516402,,Diferansiyel Denklemler,,Z,,2,,2,,3,,5
500301,,İstatistik-I,,Z,,3,,0,,3,,4,,,,516403,,İstatistik-II,,Z,,3,,0,,3,,4
516303,,Elektrik Mühendisliğinin Temelleri,,Z,,2,,1,,"2,5",,3,,,,516404,,Bilgisayar Programlama,,Z,,2,,2,,3,,4
516304,,Malzeme Bilimi,,Z,,2,,1,,"2,5",,3,,,,516405,,Maliyet Analizi,,Z,,3,,0,,3,,3
516305,,İş Sağlığı ve Güvenliği-I,,Z,,2,,0,,2,,3,,,,516406,,Bilgisayar Kontrollü Makine Programlama,,Z,,2,,1,,"2,5",,3
516306,,Takım Tezgahları,,Z,,2,,0,,2,,3,,,,516407,,İş Sağlığı ve Güvenliği-II,,Z,,2,,0,,2,,3
,,Sosyal Seçmeli Ders-III*,,S,,2,,0,,2,,3,,,,,,Sosyal Seçmeli Ders-IV*,,S,,2,,0,,2,,3
,,TOPLAM,,,,19,,3,,"20,5",,30,,,,,,TOPLAM,,,,19,,5,,"21,5",,30
Sosyal Seçmeli Ders III,,,,,,,,,,,,,,Sosyal Seçmeli Ders IV,,,,,,,,,,
516310,,Mühendislik Etiği,,S,,2,,0,,2,,3,,,,516410,,Türkiye Ekonomisi,,S,,2,,0,,2,,3
516311,,Kişisel Gelişim ve Etkili Yaşamak,,S,,2,,0,,2,,3,,,,516411,,Güncel Ekonomik ve Sosyal Olaylar,,S,,2,,0,,2,,3
516312,,Çevre Kirliliği ve Kontrolü,,S,,2,,0,,2,,3,,,,516412,,İnovasyon Yönetimi,,S,,2,,0,,2,,3
* 3. grup teknik olmayan (sosyal) seçmeli ders havuzundan bir ders seçilecektir.,,,,516413,,Mesleki Yabancı Dil (İngilizce),,S,,2,,0,,2,,3
,,,,,,,,,,,,,,,,516414,,Yabancı Dil (Almanca),,S,,2,,0,,2,,3
,,,,,,,,,,,,,,,,516415,,Yabancı Dil (Çince),,S,,2,,0,,2,,3
,,,,,,,,,,,,,,,,516416,,Yabancı Dil (Rusça),,S,,2,,0,,2,,3
,,,,,,,,,,,,,,,,516417,,Yabancı Dil (Arapça),,S,,2,,0,,2,,3
,,,,,,,,,,,,,,,,* 4. grup teknik olmayan (sosyal) seçmeli ders havuzundan bir ders seçilecektir.
,,,,
​5. Yarıyıl (3. Yıl Güz Dönemi),,,,​6. Yarıyıl (3. Yıl Bahar Dönemi)
Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS,,,,Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS
516501,,Yöneylem Araştırması-I,,Z,,4,,0,,4,,6,,,,516601,,Yöneylem Araştırması-II,,Z,,4,,0,,4,,6
516502,,Kalite Kontrol,,Z,,3,,1,,"3,5",,4,,,,516602,,Üretim Planlama ve Kontrol-II,,Z,,3,,0,,3,,5
516503,,Yönetim ve Organizasyon,,Z,,3,,0,,3,,4,,,,516603,,Sistem Simülasyonu,,Z,,2,,1,,"2,5",,5
516504,,Üretim Planlama ve Kontrol-I,,Z,,3,,0,,3,,4,,,,516604,,Mühendislik Ekonomisi,,Z,,3,,0,,3,,4
516505,,İş Etüdü,,Z,,2,,1,,"2,5",,3,,,,516605,,İşbilim,,Z,,2,,1,,"2,5",,4
