

END101,ENDÜSTRİ MÜHENDİSLİĞİNE GİRİŞ,2,0,0,2,2, Görüntüle,  Görüntüle
FIZ107,FİZİK I,3,0,2,4,6, Görüntüle,  Görüntüle
KIM102,KİMYA,3,0,2,4,6, Görüntüle,  Görüntüle
MAT105,MATEMATİK I,3,2,0,4,6, Görüntüle,  Görüntüle
MEK111,BİLGİSAYAR DESTEKLİ TEKNİK RESİM,1,0,2,2,5, Görüntüle,  Görüntüle
TRD101,TÜRK DİLİ I,2,0,0,2,2, Görüntüle,  Görüntüle
YDL101,YABANCI DİL I (İNG.),3,0,0,3,3, Görüntüle,  Görüntüle



BIL103,BİLGİSAYAR PROGRAMLAMAYA GİRİŞ,2,0,2,3,6, Görüntüle,  Görüntüle
END102,GENEL EKONOMİ,3,0,0,3,7, Görüntüle,  Görüntüle
FIZ108,FİZİK II,3,0,2,4,6, Görüntüle,  Görüntüle
MAT106,MATEMATİK II,3,2,0,4,6, Görüntüle,  Görüntüle
TRD102,TÜRK DİLİ II,2,0,0,2,2, Görüntüle,  Görüntüle
YDL102,YABANCI DİL II (İNG.),3,0,0,3,3, Görüntüle,  Görüntüle



ATA201,ATATÜRK İLK. VE İNK. TARİHİ I,2,0,0,2,2, Görüntüle,  Görüntüle
END209,GENEL MUHASEBE,2,0,0,2,3, Görüntüle,  Görüntüle
MAT104,LİNEER CEBİR,3,0,0,3,5, Görüntüle,  Görüntüle
MAT203,DİFERANSİYEL DENKLEMLER,2,2,0,3,5, Görüntüle,  Görüntüle
MAT207,OLASILIK VE İSTATİSTİK,3,0,0,3,5, Görüntüle,  Görüntüle
MEK203,MALZEME BİLİMİ,3,0,0,3,5, Görüntüle,  Görüntüle
-,SOSYAL SEÇMELİ I,3,0,0,3,5, Görüntüle,



ATA202,ATATÜRK İLK. VE İNK. TARİHİ II,2,0,0,2,2, Görüntüle,  Görüntüle
END202,İŞ ETÜDÜ,1,0,2,2,4, Görüntüle,  Görüntüle
END210,ÜRETİM YÖNTEMLERİ,3,0,0,3,5, Görüntüle,  Görüntüle
END218,MALİYET MUHASEBESİ,2,0,0,2,4, Görüntüle,  Görüntüle
END224,ÜRETİM VE İŞLEMLER YÖNETİMİ,1,2,0,2,5, Görüntüle,  Görüntüle
MAT217,İSTATİSTİKSEL ANALİZ,3,0,0,3,5, Görüntüle,  Görüntüle
-,SOSYAL SEÇMELİ II,3,0,0,3,5, Görüntüle,



-,BÖLÜM SEÇMELİ I,3,0,0,3,6, Görüntüle,
END311,YÖNEYLEM ARAŞTIRMASI I,2,1,1,4,5, Görüntüle,  Görüntüle
END317,ERGONOMİ,2,0,0,2,3, Görüntüle,  Görüntüle
END319,MÜHENDİSLİK EKONOMİSİ,3,0,0,3,5, Görüntüle,  Görüntüle
END329,BENZETİM,2,0,2,3,5, Görüntüle,  Görüntüle
END381,ENDÜSTRİ STAJI I,0,0,0,0,1, Görüntüle,  Görüntüle
-,SOSYAL SEÇMELİ III,3,0,0,3,5, Görüntüle,



-,BÖLÜM SEÇMELİ II,3,0,0,3,6, Görüntüle,
-,BÖLÜM SEÇMELİ III,3,0,0,3,6, Görüntüle,
END316,YÖNETİM VE ORGANİZASYON,3,0,0,3,6, Görüntüle,  Görüntüle
END322,YÖNEYLEM ARAŞTIRMASI II,2,0,2,3,7, Görüntüle,  Görüntüle
MEK311,TERMODİNAMİK,3,0,0,3,5, Görüntüle,  Görüntüle



-,BÖLÜM SEÇMELİ IV,3,0,0,3,6, Görüntüle,
-,BÖLÜM SEÇMELİ V,1,0,2,2,6, Görüntüle,
END401,ENDÜSTRİ MÜHENDİSLİĞİ PROJESİ,0,2,0,1,4, Görüntüle,  Görüntüle
END421,ÜRETİM PLANLAMA VE KONTROL,2,1,1,4,7, Görüntüle,  Görüntüle
END481,ENDÜSTRİ STAJI II,0,0,0,0,1, Görüntüle,  Görüntüle
