KİMYA-BİYOLOJİ MÜHENDİSLİĞİ
GÜZ DÖNEMİ,,BAHAR DÖNEMİ
1. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
ACWR 101,Ortak Çekirdek,3,,CHBI 100,Zorunlu Alan,3
CHEM 101,Zorunlu Alan,4,,CHEM 102,Zorunlu Alan,4
MATH 106,Zorunlu Alan,3,,MATH 107,Zorunlu Alan,3
PHYS 101,Zorunlu Alan,3,,MATH 203,Zorunlu Alan,3
PHYS 101L,Zorunlu Alan,1,,PHYS 102,Zorunlu Alan,3
COMP 110,Zorunlu Alan,3,,PHYS 102L,Zorunlu Alan,1
CPAP 100,Ortak Çekirdek,0,,TURK 100,Ortak Çekirdek,4
2. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
CHBI 201,Zorunlu Alan,4,,CHBI 204,Zorunlu Alan,3
CHEM 216,Zorunlu Alan,4,,CHBI 301,Zorunlu Alan,3
CHEM 301,Zorunlu Alan,4,,ACWR 106,Ortak Çekirdek,3
MATH 204,Zorunlu Alan,3,,SEÇMELİ,Genel Seçmeli,3
SOSC,Ortak Çekirdek,3,,ENGR 201,Zorunlu Alan,4
,,,,CHBI 291,Zorunlu Alan,0
3. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
CHBI 300,Zorunlu Alan,4,,CHBI 308,Zorunlu Alan,4
CHBI 302,Zorunlu Alan,3,,CHBI 408,Zorunlu Alan,3
CHBI 303,Zorunlu Alan,3,,ALAN,Alan Seçmeli,3
HIST 300,Ortak Çekirdek,4,,SEÇMELİ,Genel Seçmeli,3
ECSA,Ortak Çekirdek,3,,HUMS,Ortak Çekirdek,3
,,,,ASIU,Ortak Çekirdek,3
,,,,CHBI 391,Zorunlu Alan,0
4. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
CHBI 402,Zorunlu Alan,4,,CHBI 491,Zorunlu Alan,4
CHBI 403,Zorunlu Alan,4,,SEÇMELİ,Genel Seçmeli,3
ALAN,Alan Seçmeli,3,,SEÇMELİ,Genel Seçmeli,3
ETHC,Ortak Çekirdek,3,,SEÇMELİ,Genel Seçmeli,3
CHBI 418,Zorunlu Alan,3,,SEÇMELİ,Genel Seçmeli,3
,,,,,,
Mezuniyet için gerekli toplam kredi 143 (ALIS ve UNIV dahil)
Ders Sayısı
"Ortak Çekirdek Dersleri Sayısı: 10 ( CPAP dahil, ALIS ve UNIV hariç)"
Alan Dersleri Sayısı: 31 (0 kredilik staj dersleri dahil)
Seçmeli Dersler Sayısı: 6
Toplam Ders Sayısı: 47 (ALIS ve UNIV hariç)
BİLGİSAYAR MÜHENDİSLİĞİ
GÜZ DÖNEMİ,,BAHAR DÖNEMİ
1. SINIF
Ders,Tipi,Kredi,,Ders,Tipi,Kredi
