Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
PHYS105,GENEL FİZİK I,4,3,2,6.5
CHEM107,GENEL KİMYA,4,3,2,6.0
MATH119,MATEMATİK I (ANALİTİK GEOMETRİ),5,4,2,7.5
CENG229,C PROGRAMLAMA,4,3,2,6.0
ENG101,AKADEMİK AMAÇLI İNGİLİZCE I,4,4,1,6.0
IS100,ENFORMASYON TEKNOLOJİLERİ VE UYGULAMALARINA GİRİŞ,0,0,2,1.0
OHS101,İŞ SAĞLIĞI VE GÜVENLİĞİ I,0,0,0,2.0
Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
PHYS106,GENEL FİZİK II,4,3,2,6.5
MATH120,MATEMATİK II (ÇOK DEĞİŞKENLİ FONKSİYONLAR),5,4,2,7.5
MATH260,TEMEL DOĞRUSAL CEBİR,3,3,0,5.0
IE102,ENDÜSTRİ MÜHENDİSLİĞİNE GİRİŞ,2,2,0,4.0
ME105,BİLGİSAYAR DESTEKLİ TEKNİK RESİM,3,2,2,5.0
ENG102,AKADEMİK AMAÇLI İNGİLİZCE II,4,4,1,6.0
Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
MATH219,TÜREVSEL DENKLEMLERE GİRİŞ,4,4,0,7.0
ECON211,EKONOMİ I (MİKRO),3,3,0,6.0
IE241,MÜHENDİSLER İÇİN FİNANS VE İŞLETME MUHASEBESİ,3,3,0,5.0
IE251,DOĞRUSAL PROGRAMLAMA,3,3,0,6.0
IE265,OLASILIĞA GİRİŞ,3,3,0,5.0
ME212,ÜRETİM MÜHENDİSLİĞİ,3,3,0,5.0
Aşağıdaki derslerden biri.
""
HIST2201,KEMAL ATATÜRK'ÜN İLKELERİ I,0,2,0,2.0
HIST2205,TÜRK DEVRİM TARİHİ I,0,2,0,2.0
""
Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
ECON212,EKONOMİ II (MAKRO),3,3,0,6.0
IE252,AĞ AKIŞLARI VE TAMSAYI PROGRAMLAMA,3,3,0,6.0
IE266,MÜHENDİSLİK İSTATİSTİĞİ,4,4,0,6.0
METE230,MALZEME BİLİMİ VE MÜHENDİSLİĞİNİN TEMELLERİ,3,3,0,5.0
ENG211,AKADEMİK SÖZLÜ SUNUM BECERİSİ,3,3,1,4.0
OHS301,İŞ SAĞLIĞI VE GÜVENLİĞİ II,0,0,0,2.0
,KISITLI SEÇMELİ*,,,,
Aşağıdaki derslerden biri.
""
HIST2202,KEMAL ATATÜRK'ÜN İLKELERİ II,0,2,0,2.0
HIST2206,TÜRK DEVRİM TARİHİ II,0,2,0,2.0
""
Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
EE381,SİSTEMLER VE KONTROL,3,3,0,5.0
IE300,YAZ STAJI I,0,0,0,4.0
IE323,ÜRETİM VE HİZMET OPERASYON PLANLAMASI I,3,3,0,6.0
IE333,İŞ SİSTEMLERİ ANALİZ VE TASARIMI,3,3,0,5.5
IE347,MÜHENDİSLİK EKONOMİSİ,3,3,0,6.0
IE361,STOKASTİK YÖNEYLEM ARAŞTIRMASI MODELLERİ,3,3,0,6.0
,TEKNİK OLMAYAN SEÇMELİ,,,,
Aşağıdaki derslerden biri.
""
TURK105,TÜRKÇE I,0,2,0,2.0
TURK201,BAŞLANGIÇ DÜZEYİNDE TÜRKÇE,0,4,0,2.0
TURK303,TÜRKÇE I,0,2,0,2.0
""
Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
IE304,ÜRETİM VE HİZMET BİLİŞİM SİSTEMLERİ,3,3,0,5.5
IE324,ÜRETİM VE HİZMET OPERASYON PLANLAMASI II,3,3,0,6.0
IE368,KALİTE PLANLAMASI VE KONTROLÜ,3,3,0,5.5
IE372,SİMÜLASYON,3,3,0,6.0
ME351,TERMODİNAMİK,3,3,0,5.0
Aşağıdaki derslerden biri.
""
TURK106,TÜRKÇE II,0,2,0,2.0
TURK202,ORTA DÜZEYDE TÜRKÇE,0,4,0,2.0
TURK304,TÜRKÇE II,0,2,0,2.0
""
Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
IE400,YAZ STAJI II,0,0,0,4.0
IE404,MÜHENDİSLER İÇİN İŞLETME,3,3,0,5.5
IE422,ENDÜSTRİ MÜHENDİSLİĞİ UYGULAMALARI SEMİNERİ,0,2,0,2.0
IE489,SİSTEM DÜŞÜNCESİ,3,3,0,6.5
IE497,SİSTEM TASARIMI I,3,1,4,5.0
     ,TEKNİK SEÇMELİ
     ,TEKNİK SEÇMELİ
     ,TEKNİK OLMAYAN SEÇMELİ
Ders Kodu  ,Ders Adı        , ODTÜ Kredisi , Kontak (s/h) , Lab (s/h) , AKTS Kredisi 
IE498,SİSTEM TASARIMI II,3,1,4,5.0
     ,TEKNİK SEÇMELİ
     ,TEKNİK SEÇMELİ
     ,TEKNİK OLMAYAN SEÇMELİ
     ,SERBEST SEÇMELİ
