Eski Müfredat Dersleri,Yeni Müfredat Adaptasyon Kuralları
ENG 301 Teknik Sunum ve ENG 302 Teknik Yazım dersini alan ve geçenler,ENG 303 Teknik İletişim ve FE 101 Mühendis Olmak derslerinden muaf
ENG 301 Teknik Sunum dersinden geçti ve ENG 302 Teknik Yazım dersini almadı veya kaldı,ENG 303 Teknik İletişim dersinden muaf ve FE 101 Mühendis Olmak dersini alacak
ENG 301 Teknik Sunum dersinini almadı veya kaldı ve ENG 302 Teknik Yazım dersinden geçti,ENG 303 Teknik İletişim dersinden muaf ve FE 101 Mühendis Olmak dersini alacak
ENG 301 Teknik Sunum ve ENG 302 Teknik Yazım derslerinin ikisini de almadı veya kaldı,ENG 303 Teknik İletişim dersini ve FE 101 Mühendis Olmak dersini alacak
ENG 301 veya ENG 302 herhangi birinin notunu yükseltmek istiyorsaBirinin notunu yükseltmek istiyorsa,FE 101 alacak
ENG 301 ve ENG 302 nin notunu yükseltmek istiyorsa,ENG 303 ve FE101 alacak
IE Eski Müfredat Dersler,IE Adaptasyon Kuralları
CS 100 Programlamaya Giriş dersi almadı veya kaldı,CS 103 Mühendisler için Bilgisayar Programlama alacak
CS 100 aldı geçti,CS 103 den muaf
CS 100 den geçti ama notunu artırmak için tekrar alıyor,CS 103 alacak
IE dışı Mühendislik seçmeli dersi almadı veya kaldı,IE 246 Yöneylem Araştırması için Programlama alacak
IE dışı Mühendislik dersi aldı geçti,IE 246 Yöneylem Araştırması için Programlama muaf
IE dışı Mühendislik dersi geçti ama notunu artırmak için tekrar alıyor,IE 246 Yöneylem Araştırması için Programlama alacak
IE Kısıtlı seçmeli dersi almadı veya kaldı,IE 342 veya IE 343 alacak
IE Kısıtlı seçmeli ders dersi aldı geçti,IE 342 veya IE 343 alacak (IE342 aldıysa IE 343 alacak
IE Kısıtlı seçmeli dersi geçti ama notunu artırmak için tekrar alıyor,IE 342 veya IE 343 alacak
IE 304 Maliyet Analizi dersi almadı veya kaldı,IE 342 veya IE 343 alacak
IE 304 Maliyet Analizi dersi aldı geçti,IE 342 veya IE 343 alacak
IE 304 Maliyet Analizi dersi geçti ama notunu artırmak için tekrar alıyor,IE 342 veya IE 343 alacak
