"Bölüm Başkanı
					",Prof. Dr. Halil İbrahim BÜLBÜL
Eğitim Destek Uzmanı,Hilal ÖZTÜRK
İletişim,0312 216 06 78 - hilal@yesevi.edu.tr 
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TEML-101, Endüstri Mühendisliğine Giriş,3,Zorunlu Ders
TEML-103, Genel Kimya,3,Zorunlu Ders
TLOD-101, Matematik I,3,Zorunlu Ders
TLOD-103, Fizik I,3,Zorunlu Ders
TOZD-101, Atatürk İlkeleri Ve İnkılap Tarihi - I,2,Zorunlu Ders
TOZD-303, İngilizce I,2,Zorunlu Ders
TOZD-401, Türk Dili Ve Lehçeleri I,2,Zorunlu Ders
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TBML-103, Bilgisayar Programlama I,3,Zorunlu Ders
TLOD-102, Matematik II,3,Zorunlu Ders
TLOD-104, Fizik II,3,Zorunlu Ders
TOZD-102, Atatürk İlkeleri ve İnkılap Tarihi - II,2,Zorunlu Ders
TOZD-304, İngilizce II,2,Zorunlu Ders
TOZD-402, Türk Dili ve Lehçeleri II,2,Zorunlu Ders
TYBS-102, Bilişim Sistemleri ve Teknolojilerine Giriş,3,Zorunlu Ders
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TBML-104, Bilgisayar Programlama II,3,Zorunlu Ders
TBML-304, Veritabanı Yönetim Sistemleri,3,Zorunlu Ders
TEML-201, Statik-Mukavemet,3,Zorunlu Ders
TEML-203, Bilgisayar Destekli Teknik Resim ve Tasarım,3,Zorunlu Ders
TEML-205, Malzeme Bilimine Giriş,3,Zorunlu Ders
TEML-207, Olasılık,3,Zorunlu Ders
TLOD-203, Lineer Cebir,3,Zorunlu Ders
TLOD-312, Kazak Dili,2,Zorunlu Ders
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TEML-202, Mühendislik Ekonomisi,3,Zorunlu Ders
TEML-204, Genel Muhasebe,3,Zorunlu Ders
TEML-206, Yöneylem Araştırması I,3,Zorunlu Ders
TEML-220, İstatistik,3,Zorunlu Ders
TLOD-106, Ayrık Matematik,3,Zorunlu Ders
TLOD-202, Diferansiyel Denklemler,3,Zorunlu Ders
TOZD-201, Yesevilik Bilgisi,2,Zorunlu Ders
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TEML-208, İletişim Becerileri ve Kişisel Gelişim,3,Seçmeli Ders
TEML-210, İş Etüdü,3,Zorunlu Ders
TEML-212, Rapor Yazma ve Sunum Teknikleri,3,Seçmeli Ders
TEML-214, Finans Mühendisliği,3,Seçmeli Ders
TEML-216, Süreç Yönetimi ve Sürekliliği İyileştirme,3,Zorunlu Ders
TEML-218, Yöneylem Araştırması II,3,Zorunlu Ders
TOZD-310, Kazakistan Tarihi,2,Zorunlu Ders
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TEML-301, Bilim ve Mühendislik Felsefesi,2,Zorunlu Ders
TEML-303, Tesis Tasarım ve Planlaması,3,Zorunlu Ders
TEML-306, Girişimcilik,3,Seçmeli Ders
TEML-307, İşbilim,3,Zorunlu Ders
TEML-309, Üretim Planlama ve Kontrol,3,Zorunlu Ders
TEML-311, Zeki İmalat Sistemleri,3,Seçmeli Ders
TOZD-202, Bilim Tarihi,2,Zorunlu Ders
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TEML-401, Uygulama,3,Zorunlu Ders
TEML-403, Sistem Analizi ve Tasarımı,3,Zorunlu Ders
TEML-405, Bilgisayarla Bütünleşik İmalat,3,Zorunlu Ders
TEML-407, Lojistik Mühendisliği,3,Seçmeli Ders
TEML-408, Üretim Sistemleri,3,Zorunlu Ders
TLOD-401, İş Sağlığı ve Güvenliği,3,Zorunlu Ders
TYBS-412, Stratejik Yönetim,3,Seçmeli Ders
Dersin Kodu, Dersin Adı,Kredisi,Zorunlu/ Seçmeli
TEML-402, Benzetim,3,Zorunlu Ders
TEML-404, Proje Yönetimi,3,Zorunlu Ders
TEML-406, Çok Ölçütlü Karar Verme,3,Seçmeli Ders
TEML-409, Kalite Mühendisliği,3,Zorunlu Ders
TEML-412, Karar Analizi,3,Zorunlu Ders
"
Program Düzeyi
","
Öğrenim Ücreti (TL)
"
"
Ön Lisans
","
1.350,00 (2018-2019 Güz Döneminde kayıt olan öğrenciler için Bir Dönem Ücreti) (Numaraları 18 le başlayanlar)
"
"
2.160,00 (2019-2020 Güz Döneminden itibaren kayıt olanlar ve 5. ve daha sonraki dönemlere kayıt olacak öğrenciler için Bir Dönemlik Eğitim Ücreti)
"
"
Lisans
","
1.782,00 (2019-2020 Güz dönemi öncesinde kayıt olup normal öğrenim süresinde olanlar için Bir Dönemlik Eğitim Ücreti) (Numaraları 16-17-18 le başlayanlar)
"
"
2.500,00 (2019-2020 Güz Döneminden itibaren kayıt olanlar ile bu dönemde 9. ve daha sonraki dönemlere kayıt olacak öğrenciler için Bir Dönemlik Eğitim Ücreti)
"
"
Yüksek Lisans
"
"
3.500,00(2019-2020 Güz ve daha sonraki dönemlerde kayıt olanlar ve eğitiminin 3. döneminde (uzatma döneminde) olanlar için Bir Dönemlik Eğitim Ücreti)
"
