

,1,SAY,TıpTıp Fakültesi,,509.363,506.336,4527,4450,6,290,290,290,8,290,5
,2,SAY,TıpTıp Fakültesi,İngilizce,506.736,503.421,5176,5090,6,100,100,100,3,100,"5, 15, 17, 28"
,3,SÖZ,Özel Eğitim ÖğretmenliğiGazi Eğitim Fakültesi,,415.722,403.276,7616,7910,4,120,120,100,3,100,"1, 24, 75"
,4,DİL,İngilizce ÖğretmenliğiGazi Eğitim Fakültesi,,428.072,420.942,8553,7990,4,130,130,130,4,130,"1, 15, 17, 24, 75, 77"
,5,SÖZ,Türk Dili ve Edebiyatı ÖğretmenliğiGazi Eğitim Fakültesi,,410.739,394.539,9432,11500,4,20,20,20,1,20,"1, 24"
,6,SÖZ,Okul Öncesi ÖğretmenliğiGazi Eğitim Fakültesi,,409.098,394.780,10128,11400,4,100,100,90,3,90,"1, 24, 75"
,7,SÖZ,Türkçe ÖğretmenliğiGazi Eğitim Fakültesi,,406.734,389.528,11233,14300,4,90,90,80,2,80,"1, 24, 75"
,8,SAY,TıpTıp Fakültesi,KKTC Uyruklu,485.408,455.457,12076,21700,6,1,1,1,0,1,"5, 90"
,9,SAY,Diş HekimliğiDiş Hekimliği Fakültesi,,467.947,461.160,20069,19200,5,120,120,120,3,120,
,10,SÖZ,Özel Eğitim ÖğretmenliğiGazi Eğitim Fakültesi,KKTC Uyruklu,390.287,0.000,21994,0,4,1,2,1,0,1,"1, 24, 90"

